id,proper,ra,dec,mag,con,dist,spect
40159,,8.224866,-35.899518,4.78,Pup,284.9003,B2ne
40167,,8.226178,-50.196072,5.52,Vel,221.2389,M1III
40170,,8.22671,-46.991628,5.14,Vel,416.6667,B2.5IV
40190,,8.230607,56.452246,5.88,Lyn,176.0563,G9III
40206,,8.232865,-36.322281,5.09,Pup,311.5265,B2V:
40211,,8.234143,-40.34789,4.42,Pup,91.4913,K1II/III
40229,,8.237017,-35.490019,5.77,Pup,68.8705,K1III
40242,,8.239965,-45.834522,5.86,Vel,362.3188,B2IV-V
40314,,8.254427,-62.915643,5.16,Car,77.5194,A+...
40411,Tarf,8.275256,9.185545,3.53,Cnc,93.0233,K4III
40531,,8.297338,59.571133,5.63,Lyn,91.8274,A7IV
40563,,8.304832,-35.451703,5.59,Pup,126.2626,K2III
40565,,8.305219,-65.613192,5.06,Vol,91.0747,K1III
40578,,8.306651,-12.632173,5.95,Pup,12.4938,K0V
40587,,8.308703,-76.919722,4.05,Cha,19.5618,F5III
40591,,8.309258,-36.659288,4.44,Pup,28.6287,A4m...
40657,,8.321437,62.507159,5.73,UMa,141.6431,G8III
40679,,8.32562,75.756907,5.55,Cam,85.9845,G8III
40701,,8.330274,-71.514906,5.33,Vol,133.3333,B9III/IV
40718,,8.333486,-71.505377,5.63,Vol,128.3697,A0p
40728,,8.334406,27.217707,5.13,Cnc,18.2715,F6V
40751,,8.339158,20.747721,5.8,Cnc,172.7116,K1III
40760,,8.340564,57.743278,5.89,Lyn,32.352,F4V
40766,Piautos,8.34226,24.022314,5.92,Cnc,140.2525,B9.5V
40773,,8.344115,-77.484477,4.34,Cha,47.619,K0III-IV
40774,,8.344533,72.407232,6.0,UMa,248.7562,M0III
40817,,8.353361,-57.97322,5.96,Car,543.4783,B1.5III
40828,,8.355846,-36.484177,5.18,Pup,456.621,B2IV-V+...
40829,,8.355895,-20.079058,5.58,Pup,173.913,A3V
40830,,8.356397,-33.054366,4.83,Pup,308.642,K2/K3III
40875,,8.365169,-17.586334,5.71,Pup,95.2381,K0III
40888,,8.367918,-73.399985,5.28,Vol,116.8224,A0/A1IV/V
40921,Avior,8.375236,-59.509483,1.86,Car,185.5288,K3III+B2V
40922,,8.375471,-48.490381,4.79,Vel,526.3158,B1V
40958,,8.380538,-26.34822,5.88,Pup,100000.0,F2Iab
40959,Alsciaukat,8.380588,43.188131,4.25,Lyn,117.2333,K5III
40964,,8.381693,-7.54312,5.92,Hya,395.2569,M1III
40965,,8.381991,-52.12373,5.89,Vel,70.028,A0V
41000,,8.3894,18.3322,5.94,Cnc,117.7856,A9V
41035,,8.396809,53.219712,5.52,Lyn,50.4286,A3V
41074,,8.405637,-80.914202,5.67,Cha,75.8725,G8III
41094,,8.409726,-3.75124,5.61,Hya,26.617,F3V
41125,,8.415328,-23.153745,5.67,Pup,173.0104,A1III/IV
41133,,8.415891,-42.769834,5.97,Pup,549.4505,B3V
41143,,8.417706,-24.046212,5.32,Pup,143.472,K4/K5III
41179,,8.42537,-51.727415,5.18,Vel,213.2196,B2V
41182,,8.426538,2.102209,5.74,Hya,273.9726,K5III
41190,,8.427676,-3.906424,3.91,Hya,37.5094,A0V
41195,,8.428951,-66.13689,3.77,Vol,32.9707,K2IIIvar
41205,,8.431002,-64.600618,5.95,Vol,112.3596,G8/K0III
41207,,8.431087,-42.153072,5.45,Pup,220.2643,B3V
41209,,8.43188,7.564506,5.13,Cnc,121.0654,G8II
41212,,8.432108,-14.929661,5.96,Pup,110.9878,A3m...
41259,,8.440891,-3.987479,5.6,Hya,50.025,A5III-IV
41261,,8.44103,27.893583,5.58,Cnc,114.4165,K5III
41279,,8.444987,-12.534602,5.52,Pup,84.317,K1/K2III
41283,,8.445539,12.654612,5.56,Cnc,276.2431,M3III
41333,,8.45466,-70.093482,5.51,Vol,85.6898,A0V
41365,,8.46017,-53.08848,5.08,Vel,61.0501,A9/F0III/IV
41397,,8.466506,-35.113761,5.75,Pyx,284.9003,B2V
41460,,8.477039,14.210822,5.94,Cnc,105.2632,A5V
41498,,8.484654,-47.928923,5.33,Vel,653.5948,B2IV
41503,,8.485436,-44.160413,5.82,Vel,438.5965,B2V
41521,,8.490968,-44.724812,5.03,Vel,800.0,B+...
41556,,8.496011,-46.331693,5.98,Vel,176.6784,B7IV
41558,,8.496182,67.297441,5.89,UMa,98.0392,G8III
41586,Muscida,8.504431,60.718169,3.35,UMa,54.9149,G4II-III
41605,,8.507948,-32.159285,5.61,Pyx,323.6246,K3III
41697,,8.525145,24.081105,5.71,Cnc,76.6284,F0IIIn
41699,,8.525257,-19.577462,5.42,Pyx,105.8201,B9.5IV/V
41704,,8.526592,18.09442,5.33,Cnc,127.2265,K5III
41743,,8.534712,-53.21192,5.68,Vel,229.8851,G8III+...
41790,,8.545139,20.441162,5.33,Cnc,91.4913,K3III
41816,,8.54861,38.016368,5.88,Lyn,74.7943,K2III
41882,,8.560676,-38.848815,5.92,Vel,255.7545,B5III
41889,,8.562077,4.757,5.89,Hya,505.0505,G5III
41909,,8.567116,-2.151555,5.8,Hya,90.3342,A1V
41961,,8.576711,65.14517,5.47,UMa,46.7508,A2m
41969,,8.578778,-49.944203,5.01,Vel,260.4167,K1/K2II
41970,,8.578858,36.419619,5.76,Lyn,108.8139,A2Vnn
42010,,8.587658,-58.224735,5.27,Car,274.7253,B3V+...
42015,,8.5888,-58.009228,4.84,Car,68.0735,K0III
42027,,8.591166,-7.982292,5.72,Hya,92.8505,A1spe...
42028,,8.591307,-26.843487,5.95,Pyx,179.5332,A1V+...
42053,,8.597493,6.62022,5.91,Cnc,25.1256,F8V
42058,,8.597787,-50.969651,5.79,Vel,136.7989,B8 Si
42146,,8.61827,9.65558,5.92,Cnc,149.7006,A3V
42168,,8.6219,-62.853465,5.45,Car,103.6269,K0III
42193,,8.627399,-42.989081,4.11,Vel,558.6592,A6II
42195,,8.627602,5.703782,4.14,Hya,49.1642,A1Vnn
42215,,8.631154,-26.255,5.24,Pyx,71.0732,A0V
42246,,8.638607,32.802021,5.96,Cnc,124.6883,K2III:
42253,,8.639504,53.401539,5.66,UMa,81.6993,G8IV
42283,Minchir,8.645955,3.341435,4.45,Hya,114.2857,K2III
42306,,8.651428,-70.386745,5.19,Vol,73.6377,A0V
42311,,8.652198,-22.661875,5.05,Pyx,19.3986,G3/G5V
42319,,8.653257,65.020907,5.63,UMa,14.3554,G1.5Vb
42333,,8.654898,52.711623,5.91,UMa,160.0,K1III:
42341,,8.656626,-53.439767,5.45,Vel,136.4256,B5V
42364,,8.661799,-29.561084,4.86,Pyx,74.9064,G5III
42385,,8.666002,-53.054729,5.18,Vel,135.6852,B4IV
42390,,8.667076,-12.475372,4.98,Hya,119.0476,K3III
42396,,8.668373,-35.308352,3.97,Pyx,127.551,G5II/III
42408,,8.67024,64.327936,4.59,UMa,78.4929,K2III
42415,,8.671521,-53.015398,5.56,Vel,147.2754,B7Vn
42416,,8.671554,-52.921887,3.6,Vel,151.2859,B3IV
42421,,8.671996,-40.263875,5.2,Vel,85.6164,Ap (SiCr)
42445,,8.676461,-45.191103,5.67,Vel,295.858,M0III
42449,,8.676953,-59.761003,4.31,Car,442.4779,B1.5III
42452,,8.677103,-46.648744,3.77,Vel,100000.0,F3Ia
42485,,8.683629,45.83401,5.35,Lyn,55.2792,G0IV
42495,,8.684812,-48.92268,5.9,Vel,606.0606,B1.5V
42505,,8.686982,-47.317125,4.74,Vel,781.25,A5II
42518,,8.688773,-78.963359,5.46,Cha,94.9668,B9IV
42543,,8.695371,-15.943384,4.87,Hya,64.9351,K0IIICN...
42560,,8.699142,-45.410714,5.2,Vel,100000.0,B5Iab
42593,,8.704498,-48.09909,5.48,Vel,100000.0,B1.5Vn
42596,,8.705278,-53.100056,5.49,Vel,153.1394,B8...
42607,,8.707054,-53.113984,4.83,Vel,148.5884,B3IV
